(0.003350175823204587, -2.210493319011796, 265.4222944223533, 200.9)	(-0.0013675904711398777, -1.3884498460184507, 257.68159271480147, 247.7)	(0.00465915090028475, -2.2499260345372702, 239.43997451489238, 223.2)	(0.0044421357322564055, -2.049826656639473, 212.19225146190354, 221.8)	(-0.0024817334950326475, -0.687371313351267, 179.062750450167, 283.1)	
(-0.003235865746097552, -0.9899294575395076, 247.9822283573592, 204.0)	(-0.0036072286100720685, -0.8118802867179282, 233.24550879499563, 257.5)	(-0.003967118855109378, -0.49333386632970616, 186.56905258095048, 250.4)	(-0.0036185554667771402, -0.4240685765868455, 165.53210093933095, 245.4)	(-0.0007870805996647792, -1.4499345453039079, 257.3384567755454, 219.4)	
(0.0035926000284553167, -2.093955946599706, 245.74816456549672, 211.3)	(-0.007041917086520349, 0.016394233587623815, 192.4484110954036, 270.9)	(-8.823001600683416e-05, -1.1838016671953162, 193.6485543156091, 254.0)	(-0.0001440650363675977, -1.0519412894775961, 173.32142666915166, 246.9)	(0.00629453157635784, -2.497049519838245, 245.198915951956, 226.2)	
(0.006054897939701551, -2.688278474179491, 272.3362881263234, 200.6)	(0.004564278532679469, -2.4808307306740334, 285.6427249666062, 219.2)	(0.006370388958145628, -2.6267488104354246, 255.37397902359348, 215.4)	(0.007160894189672579, -2.508979064508494, 216.07388459734423, 219.7)	(-0.007889967501375281, 0.29806840252361677, 171.1685525500328, 263.6)	
(0.005872246434617701, -2.510090659974009, 250.96063883354648, 208.0)	(0.004675683834607961, -2.173169989730928, 228.75760688123228, 270.1)	(0.005486560232240573, -2.0717882773368075, 191.15966756634668, 257.8)	(0.005053670899229763, -1.9522882288586816, 180.42688861642367, 246.5)	(0.0082856207678474, -2.6953259089162995, 222.42441119825136, 229.1)	
(-0.0015952895840468024, -1.3071455873968163, 250.59649739055, 202.4)	(-0.002399860156804038, -1.0146782087791066, 226.59914254327285, 268.4)	(-0.004531591178756807, -0.3624053013028303, 179.6852961642603, 255.7)	(-0.005366393045544103, -0.12362091189033739, 161.99167337355706, 245.6)	(-0.005422316298600011, -0.3942270304659171, 207.83051664041304, 230.9)	
(0.004472569740937776, -2.362780009363213, 259.5051576707241, 211.3)	(0.003633192338724959, -2.138229075574057, 247.66305431507956, 264.2)	(0.003439203050722533, -1.8876863605033474, 213.99885387582023, 249.3)	(0.004593425698834461, -1.9255096160061949, 188.4576180945797, 246.0)	(0.004940545879766101, -2.3256753701589963, 244.9549783141682, 232.9)	
(0.005014402445067671, -2.3362740714360135, 244.16846926675922, 210.5)	(0.0024875201443466423, -1.804192576331664, 224.9316042732118, 270.6)	(0.0032259811187487506, -1.7475217247010917, 197.48298022515627, 254.4)	(0.0035079720183642843, -1.682490242399787, 178.168280611852, 248.1)	(0.002874214714067125, -1.9845261836016417, 245.2399778691105, 236.6)	
(0.00014041513824521274, -1.5682684756499394, 246.8372220481769, 209.5)	(-0.004026716556795279, -0.708049620750416, 221.8161172419222, 267.0)	(0.0008992686390657436, -1.3991771349332578, 202.47819595285137, 249.3)	(9.552215786012841e-05, -1.1468887743130716, 181.60498271929393, 244.0)	(0.0013907507526716748, -1.746907158290105, 248.46505265058968, 231.4)	
(0.005481782026217751, -2.4205301935081045, 247.43362967188048, 209.8)	(-0.0003958557300823065, -1.2763211442210367, 214.66317015546508, 274.9)	(0.00372162014685463, -1.8405349940854583, 198.88206340836572, 254.3)	(0.0031554378305305077, -1.6515394091875537, 182.89528348191922, 244.8)	(0.004609727925401431, -2.20890548425377, 237.13380686012678, 240.6)	
(0.004350069926413003, -2.2789288831949905, 251.68239930159626, 206.5)	(-0.004011606274343771, -0.6859351892976144, 215.70690952690413, 271.7)	(0.00318454999784205, -1.76681872165212, 200.7483388380026, 252.1)	(0.0023155583824565245, -1.5376605949053725, 185.30457976761093, 244.9)	(0.003819170506191032, -2.159915152160582, 248.19559449853878, 235.5)	
(0.0052711906136317516, -2.4248710041981743, 252.13262758929946, 210.6)	(-0.00219679679857371, -0.9618989128997034, 213.05080439192716, 280.5)	(0.0028551065565067804, -1.6910502491670252, 196.79516430536881, 258.6)	(0.002475370084928019, -1.5248244601543859, 178.9300062035681, 249.7)	(0.004404568152934787, -2.2925100639817644, 255.15204637914292, 235.6)	
